taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
2577614	Bulgaria inquinans (Pers.) Fr.	2577614	Bulgaria inquinans (Pers.) Fr.	9	SPECIES	ACCEPTED	Fungi	5	Ascomycota	95	Leotiomycetes	179	Phacidiales	10873774	Phacidiaceae	8383	Bulgaria	9789778	Bulgaria inquinans	2577614	NE
3354645	Tylopilus plumbeoviolaceus (Snell & E.A.Dick) Snell & E.A.Dick	3354645	Tylopilus plumbeoviolaceus (Snell & E.A.Dick) Snell & E.A.Dick	1	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Boletales	1063	Boletaceae	8789	Tylopilus	2519844	Tylopilus plumbeoviolaceus	3354645	NE
5249599	Cantharellus cinnabarinus (Schwein.) Schwein.	5249599	Cantharellus cinnabarinus (Schwein.) Schwein.	1	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Cantharellales	1300	Hydnaceae	8460	Cantharellus	9623860	Cantharellus cinnabarinus	5249599	LC
2559718	Erynia sepulchralis (Thaxt.) Remaud. & Hennebert	2559718	Erynia sepulchralis (Thaxt.) Remaud. & Hennebert	1	SPECIES	ACCEPTED	Fungi	5	Entomophthoromycota	10791940	Entomophthoromycetes	9693863	Entomophthorales	859	Entomophthoraceae	4090	Erynia	2559701	Erynia sepulchralis	2559718	NE
9589545	Exobasidium vaccinii (Fuckel) Woronin	9589545	Exobasidium vaccinii (Fuckel) Woronin	1	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Exobasidiomycetes	151	Exobasidiales	524	Exobasidiaceae	3264	Exobasidium	2513192	Exobasidium vaccinii	9589545	NE
2551169	Russula Pers.	2551169	Russula Pers.	1	GENUS	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Russulales	1144	Russulaceae	7609	Russula	2551169			NE
3362030	Laetiporus conifericola Burds. & Banik	3362030	Laetiporus conifericola Burds. & Banik	1	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Polyporales	1145	Laetiporaceae	3272667	Laetiporus	2542160	Laetiporus conifericola	3362030	NE
11011338	Sarcomyxa serotina (Pers.) V.Papp	11011338	Sarcomyxa serotina (Pers.) V.Papp	2	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Agaricales	1499	Sarcomyxaceae	12231348	Sarcomyxa	3318847	Sarcomyxa serotina	11011338	NE
9208081	Trametes gibbosa (Pers.) Fr.	9208081	Trametes gibbosa (Pers.) Fr.	2	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Polyporales	1145	Polyporaceae	3286	Trametes	2519084	Trametes gibbosa	9208081	NE
5452051	Amanita bisporigera G.F.Atk.	5452051	Amanita bisporigera G.F.Atk.	1	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Agaricales	1499	Amanitaceae	4171	Amanita	6005964	Amanita bisporigera	5452051	NE
2553087	Stereum complicatum (Fr.) Fr.	2553087	Stereum complicatum (Fr.) Fr.	2	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Russulales	1144	Stereaceae	3279	Stereum	2513764	Stereum complicatum	2553087	NE
9808003	Aureoboletus auriflammeus (Berk. & M.A.Curtis) G.Wu & Zhu L.Yang	9808003	Aureoboletus auriflammeus (Berk. & M.A.Curtis) G.Wu & Zhu L.Yang	2	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Boletales	1063	Boletaceae	8789	Aureoboletus	2519406	Aureoboletus auriflammeus	9808003	NE
5240596	Mycena leaiana (Berk.) Sacc.	5240596	Mycena leaiana (Berk.) Sacc.	3	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Agaricales	1499	Mycenaceae	4180	Mycena	5955261	Mycena leaiana	5240596	NE
9439058	Picipes badius (Pers.) Zmitr. & Kovalenko	9439058	Picipes badius (Pers.) Zmitr. & Kovalenko	1	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Polyporales	1145	Polyporaceae	3286	Picipes	9328545	Picipes badius	9439058	NE
2529040	Cortinarius violaceus (L.) Gray	2529040	Cortinarius violaceus (L.) Gray	1	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Agaricales	1499	Cortinariaceae	4172	Cortinarius	2524960	Cortinarius violaceus	2529040	NE
2548311	Trametes versicolor (L.) Lloyd	2548311	Trametes versicolor (L.) Lloyd	5	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Polyporales	1145	Polyporaceae	3286	Trametes	2519084	Trametes versicolor	2548311	NE
2520036	Pseudoinonotus dryadeus (Pers.) T.Wagner & M.Fisch.	2520036	Pseudoinonotus dryadeus (Pers.) T.Wagner & M.Fisch.	1	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Hymenochaetales	1304	Hymenochaetaceae	8468	Pseudoinonotus	2520028	Pseudoinonotus dryadeus	2520036	NE
9819973	Fomitopsis betulina (Bull.) B.K.Cui, M.L.Han & Y.C.Dai	9819973	Fomitopsis betulina (Bull.) B.K.Cui, M.L.Han & Y.C.Dai	1	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Polyporales	1145	Fomitopsidaceae	7619	Fomitopsis	2523631	Fomitopsis betulina	9819973	NE
12123495	Hemileccinum hortonii (A.H.Sm. & Thiers) M.Kuo & B.Ortiz	12123495	Hemileccinum hortonii (A.H.Sm. & Thiers) M.Kuo & B.Ortiz	1	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Boletales	1063	Boletaceae	8789	Hemileccinum	7240445	Hemileccinum hortonii	12123495	NE
2600703	Lasallia papulosa (Ach.) Llano	2600703	Lasallia papulosa (Ach.) Llano	1	SPECIES	ACCEPTED	Fungi	5	Ascomycota	95	Lecanoromycetes	180	Umbilicariales	1275	Umbilicariaceae	4108	Lasallia	2600702	Lasallia papulosa	2600703	NE
